data
;Price;Manufacturer;String Type;Number of Strings;Body Shape;Left-/Right-handed;Color;Finish;Top Wood;Back & Sides Wood;Body Bracing;Neck Wood;Neck Shape;Fingerboard Material;Number of Frets;Scale Length;Tuning Machines;Bridge Material;Nut/Saddle Material;Nut Width;Strings;Case Included;Body Depth;Body Style;Binding;Radius;Fingerboard Inlay;Overall Length;Body Length;Body Width;Electronics;Size;Top Material;Back & Sides Material;Neck Material;Tuners;Nut Material;Body Type;Body Material;Body Finish;Bridge/Tailpiece;Controls;Case/Gig Bag;Binding Material;Saddle Material;Upper Bout Width;Lower Bout Width;Waist Width;Accessories;Neck Joint;Middle Pickup;Bridge Pickup;Switching
0;129.99;Yamaha;Nylon;6;Half-scale Classical;Right-handed;Natural;Gloss;Spruce;Meranti;Classical;Nato;Standard;Rosewood;20;"21""";Open-gear;Rosewood;Urea/Urea;"1.9""";Nylon Lights;Sold Separately;"3.3"" lower, 3.15"" upper";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;139.99;Yamaha;Nylon;6;3/4 Classical;Right-handed;;Gloss;Spruce;Nato;;Nato;;Rosewood;18;"23""";;;;"1.889""";Savarez D'angelico Light Tension;;"4""";No Cutaway;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;149.00;Cordoba;Nylon;6;Mini II;Right-handed;Natural;Satin Polyurethane;Mahogany;Mahogany;Fan;Mahogany;;Composite;19;"22.875""";Cordoba Satin Nickel with Black Buttons;Composite;NuBone/NuBone;"1.875""";Savarez Cristal Corum High Tension 500CJ;;"3.33"" lower bout, 3"" upper bout";;Black ABS;Flat;Pearloid Dots;"34.37""";"15.87""";"11.25"" lower bout, 8.75"" upper bout";;;;;;;;;;;;;;;;;;;;;;;
3;149.00;Epiphone;Nylon;6;3/4 Classical;Right-handed;Antique Natural;;Cedar;Mahogany;Custom PRO-Prietary bracing;Mahogany;D profile;Rosewood;18, JumboPRO;"22.8""";Epiphone Deluxe Classical 16:1;Rosewood;NuBone;"1.89""";Epiphone Ultra light (28-42);;;;Ivory/Black;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;149.00;Epiphone;Nylon;6;Classical;Right-handed;Antique Natural;;Cedar;Mahogany;PRO-Prietary;Mahogany;EZ-PRO D Shape;Rosewood;18.5;"25.6""";Epiphone Deluxe Classical, 16:1 ratio;Rosewood;NuBone;"1.75""";Epiphone Ultra-Light, .028-.042;;;;Black/Ivory Top, Black Back;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;149.00;Epiphone;Nylon;6;Spanish Classic;Right-handed;Natural;Satin;Laminated Cedar;Select Mahogany;Custom Proprietary;Mahogany;D;;19, Jumbo;"25.6""";Deluxe Classical;;Nubone/Nubone;"2""";Epiphone. Ultra-Light Classical, .028-.042;;;;Black/Ivory;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;149.00;Kala;Nylon;6;3/4 Classical;Right-handed;Natural;Gloss;Cedar;Mahogany;;Mahogany;D;Laurel;19;"23.25""";Gold Slotted Open Gear;Rosewood;Bone/Bone;"2""";Hard Tension Strings;;;;Black;Flat;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;159.00;Kala;Nylon;6;Classical;Right-handed;Natural;Gloss;Cedar;Mahogany;;Mahogany;D;Laurel;19;"25.5""";Gold Slotted Open Gear;Rosewood;Bone/Bone;"2""";Hard Tension Strings;;;;Black;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;159.99;Yamaha;Nylon;6;Classical;Right-handed;;Gloss;Spruce;Meranti;;Nato;Classical;Rosewood;18;"25.56""";Classical Style;;;"2""";Savarez D'angelico Light Tension;;"3.31""";No Cutaway;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;169.00;Cordoba;Nylon;6;3/4 size Classical;Right-handed;Natural;Satin Polyurethane;Spruce;Mahogany;Traditional with fan bracing;Mahogany;C profile;Rosewood;19;"24.2""";Cordoba gold with pearl buttons;Rosewood;Composite;"1.875""";Savarez Cristal Corum High Tension 500CJ;;"3.35""";;Black ABS;;;"37.5""";"18""";"13.37"" lower bout, 10.25"" upper bout";;;;;;;;;;;;;;;;;;;;;;;
10;169.00;Cordoba;Nylon;6;Classical;Right-handed;Natural;Satin Polyurethane;Spruce;Mahogany;Fan Top bracing;Mahogany;C;Rosewood;19;"25.6""";Cordoba Gold with Pearl buttons;Rosewood;Composite;"2.05""";Savarez Cristal Corum High Tension 500CJ;;"3.94""";;Black ABS;;;"39.25""";"19.25""";"14.62"" lower bout, 11.25"" upper bout";;;;;;;;;;;;;;;;;;;;;;;
11;169.00;Cordoba;Nylon;6;1/2-size Classical;Right-handed;Natural;Matte Polyurethane;Spruce;Mahogany;Traditional with fan bracing;Mahogany;C;Rosewood;19;"22.8""";Cordoba gold with pearl buttons;Rosewood;Composite;"1.875""";Savarez Cristal Corum High Tension 500CJ;;"3.5""";;Black ABS;;;"35.25""";"16.75""";"13.25"" lower bout, 10"" upper bout";;;;;;;;;;;;;;;;;;;;;;;
12;169.00;Cordoba;Nylon;6;1/4-size Classical;Right-handed;Natural;Satin Polyurethane;Spruce;Mahogany;Traditional with fan bracing;Mahogany;C profile;Rosewood;19;"18.9""";Cordoba gold with pearl buttons;Rosewood;Composite;"1.75""";Savarez Cristal Corum High Tension 500CJ;;"3.15""";;Black ABS;;;"31.75""";"15""";"11.75"" lower bout, 9"" upper bout";;;;;;;;;;;;;;;;;;;;;;;
13;189.00;Luna;Nylon;6;3/4 Dreadnought, Travel;Right-handed;Natural;Satin;Select Spruce;Mahogany;;Mahogany;C;Walnut;19;"22.5""";Open Gear with Pearloid buttons;Walnut;Plastic;"1.6875""";Nylon High Tension;Gig Bag;;;;;Mother-of-Pearl Moon Phases;;;;;;;;;;;;;;;;;;;;;;;;;;
14;189.00;Washburn;Nylon;6;Classical;Right-handed;Natural;Gloss;Spruce;Catalpa;Quartersawn Scalloped Sitka Spruce;Mahogany;;Engineered Wood;19;"25.5""";Pearloid button tuners;Engineered Wood;Graphtech Nubone;"2""";D'Addario Pro-Arte Normal Tension, .028-.043;;"4"" lower, 3.7"" upper";No Cutaway;;;;"39.75""";"19.125""";"14.5"" lower bout, 11.125"" upper bout";;;;;;;;;;;;;;;;;;;;;;;
15;199.00;Cordoba;Nylon;6;Spanish Classic;Right-handed;;Gloss polyurethane;Spruce;Mahogany;Fan bracing;Mahogany;;Rosewood;19;"25.6""";Gold tuners with pearl buttons;Rosewood;Composite;"2.04""";Savarez Cristal Corum in High Tension 500CJ;Gig bag;;No Cutaway;ABS binding;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;199.00;Cordoba;Nylon;6;Spanish Classic;Right-handed;Natural;Satin;Spruce;Nato;Fan Bracing;Nato;;Rosewood;19;"25.6""";Nickel Plated Tuners with Pearl Buttons;Rosewood;Composite;"2.04""";D'Addario High Tension;Gig Bag;"3.9""";No Cutaway;Ebonized ABS Binding;Flat;MOP dots on side;"39.5""";;"14.75""";;;;;;;;;;;;;;;;;;;;;;;
17;199.00;Cordoba;Nylon;6;Mini II;Right-handed;Natural;Satin Polyurethane;Flamed Mahogany;Flamed Mahogany;Fan;Mahogany;;Composite;19;"22.835""";Cordoba Satin Nickel with Black Buttons;Composite;NuBone/NuBone;"1.875""";Savarez Cristal Corum High Tension 500CJ;;"3.33"" lower bout, 3"" upper bout";;Tortoiseshell ABS;Flat;Pearloid Dots;"34.37""";"15.62""";"11.25"" lower bout, 8.75"" upper bout";;;;;;;;;;;;;;;;;;;;;;;
18;229.99;Takamine;Nylon;6;Classical;Right-handed;;Gloss;Spruce;Mahogany;Classical Fan;Mahogany;;Laurel;19;"25.6""";Chrome Classical with White Pearl Buttons;Laurel with Compensated Saddle;Synthetic Bone;"2""";Nylon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;249.00;Cordoba;Nylon;6;Protege C1 Matiz;Right-handed;Classic Blue;Satin Polyurethane;Spruce;Mahogany;Fan;Mahogany;C;Maple;19;"25.6""";Cordoba Nickel with Pearl buttons;Maple;Composite/Composite;"2.05""";Savarez Cristal Corum High Tension 500CJ;Gig Bag;;;Ivory ABS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;249.00;Cordoba;Steel;6;Mini II;Right-handed;Natural;Satin Polyurethane;Solid Spruce;Padauk;Fan;Mahogany;C;Pau Ferro;19;"22.8""";Cordoba Satin Nickel with Black buttons;Pau Ferro;NuBone/NuBone;"1.875""";Savarez Cristal Corum High Tension 500CJ;;;;Black ABS;Flat;Pearloid Dots;;;;;;;;;;;;;;;;;;;;;;;;;;
21;249.00;Cordoba;Nylon;6;Protege C1 Matiz;Right-handed;Aqua;Satin Polyurethane;Spruce;Mahogany;Maple;Mahogany;C;Maple;19;"25.6""";Cordoba Nickel with Pearl buttons;Maple;Composite/Composite;"2.05""";Savarez Cristal Corum High Tension 500CJ;Gig Bag;;;Ivory ABS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;249.00;Cordoba;Nylon;6;Protege C1 Matiz;Right-handed;Pale Sky;Satin Polyurethane;Spruce;Mahogany;Maple;Mahogany;C;Maple;19;"25.6""";Cordoba Nickel with Pearl buttons;Maple;Composite/Composite;"2.05""";Savarez Cristal Corum High Tension 500CJ;Gig Bag;;;Ivory ABS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;249.00;Washburn;Nylon;6;Classical;Right-handed;Natural;Gloss;Spruce;Mahogany;Quarersawn Sitka Spruce;Mahogany;;Rosewood;19;"25.5""";Chrome Die-cast;Engineered Wood;NuBone;"2.05""";D'Addario EXP-16 Light Set Phosphor Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;249.00;Cordoba;Nylon;6;Protege C1 Matiz;Right-handed;Coral;Satin Polyurethane;Spruce;Mahogany;Maple;Mahogany;C;Maple;19;"25.6""";Cordoba Nickel with Pearl buttons;Maple;Composite/Composite;"2.05""";Savarez Cristal Corum High Tension 500CJ;Gig Bag;;;Ivory ABS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;249.99;Yamaha;Nylon;6;Classical;Right-handed;;Satin;Solid Engelmann Spruce;Nato;;Nato;Classical;Rosewood;18;"25.6""";Classical Style;Rosewood;;"2.05""";Savarez D'angelico Light Tension;;"3.7""-3.94""";No Cutaway;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;269.00;Washburn;Nylon;6;Classical;Right-handed;Natural;Gloss;Spruce;Catalpa;Quartersawn Sitka Spruce;Mahogany;;Engineered Wood;19;"25.5""";Pearloid button tuners;Engineered Wood;Graphtech Nubone;"2.04""";D'Addario Pro-Arte Normal Tension, .028-.043;;;Single Cutaway;;;;;;;EVT Preamp;;;;;;;;;;;;;;;;;;;;;;
27;275.00;Cordoba;Nylon;6;Spanish Classic;Right-handed;;Satin Matte;Solid Cedar;Mahogany;Spanish Classic Fan Bracing;Nato;;Rosewood;19;"25.6""";Nickel Plated with Pearl Buttons;Rosewood;Bone/Bone;"2""";D'Addario, .028-.043;;;No Cutaway;Black ABS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;279.00;Cordoba;Nylon;6;Classical;Right-handed;Natural;Satin Polyurethane;Spruce;Mahogany;Fan;Mahogany;C;Pau Ferro;19;"25.6""";Cordoba Gold with Pearl buttons;Composite;Composite/Composite;"2.0""";Savarez Cristal High Tension;;;;Black ABS;Flat;;;;;Cordoba GP-2;;;;;;;;;;;;;;;;;;;;;;
29;299.00;Cordoba;Nylon;6;Mini II;Right-handed;Natural;Satin Polyurethane;Solid Spruce;Striped Ebony;Fan braced;Mahogany;C;Composite;19;"22.875""";Cordoba Satin Nickel;Composite;NuBone nut;"1.889""";Savarez Cristal Corum High Tension;;"3.33"" lower bout, 3"" upper bout";;Black ABS;Flat;Pearloid Dots;"34.37""";"15.62""";"11.25"" lower bout, 8.75"" upper bout";Belcat Ukulele pickup with 2-band EQ;;;;;;;;;;;;;;;;;;;;;;
30;299.99;Ibanez;Nylon;6;AEG;Right-handed;Black;High Gloss Polyurethane;Spruce;Sapele;;Nyatoh;Comfort Grip;Walnut;20;"25.5""";Gold Classical Tuners;Walnut;Plastic/Plastic;"1.811""";Ibanez, .028-.043;;;;;Flat;White Dots;;;;AEQ-TTS preamp with tuner;;;;;;;;;;;;;;;;;;;;;;
31;309.99;Yamaha;Nylon;6;Classical;Right-handed;;Gloss;Solid Engelmann Spruce;Nato;;Nato;Classical;Rosewood;18;"25.6""";Classical Style;Rosewood;;"2.05""";Savarez D'angelico Light Tension;;"3.7""-3.94""";No Cutaway;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;309.99;Yamaha;Nylon;6;Classical;Right-handed;;Gloss;Spruce;Nato;;Nato/mahogany;Classical;Rosewood;18;;;Rosewood;;"2.0625""";Savarez D'angelico Light Tension;;"3 11/16""-3 15/16""";No Cutaway;;;;;;;System 68N;;;;;;;;;;;;;;;;;;;;;;
33;309.99;Takamine;Nylon;6;Classical;Right-handed;;Gloss;Solid spruce;Mahogany;Classical Fan;Mahogany;;Rosewood;19;"25.6""";Chrome Classical with White Pearl Buttons;Rosewood with Compensated Saddle;Synthetic Bone;"2""";D'Addario EXP45 Normal Tension, (.028-.044);;;No Cutaway;;;No inlay;;;;;;;;;;;;;;;;;;;;;;;;;;
34;329.00;Ovation;Nylon;6;Mid-Depth Classical;Right-handed;Natural;Gloss;Layered Spruce;Composite Fiberglass;Ovation Fan;Mahogany;C;Ovangkol;19, Medium Nickel Silver;"25.6""";Side-mount Open Gear;Ovangkol;PPS/PPS;"1.889""";D'Addario, Hard Tension .010-.046;;;;;;;;;;CE304T Preamp;;;;;;;;;;;;;;;;;;;;;;
35;329.00;Ovation;Nylon;6;Mid-Depth Classical;Right-handed;Natural;Gloss;Layered Cedar;Composite Fiberglass;Ovation Fan;Mahogany;C;Ovangkol;19, Medium Nickel Silver;"25.6""";Side-mount Open Gear;Ovangkol;PPS/PPS;"1.889""";D'Addario, Hard Tension .010-.046;;;;;;;;;;CE304T Preamp;;;;;;;;;;;;;;;;;;;;;;
36;329.99;Traveler Guitar;Nylon;6;Travel;Right-handed;Natural;Satin;Mahogany;Mahogany;;Mahogany;Traveler;Black Walnuut;22, Medium;"24.75""";Closed gear;Black Walnut;Stop/Phenolic Resin;"1.75""";Pro-Arte EJ45;Gig Bag;;;;"15.75""";Dots;;;;Under-saddle Piezo;;;;;;;;;;;;;;;;;;;;;;
